;id;name;area
171;206972;НПЦ ЭЛВИС;1
172;47939;Ак Барс Банк;88
173;1320790;АБК;1
174;15307;DoorHan, группа компаний;1
175;7172;Лента, федеральная розничная сеть;2
176;1596152;TRACE;1
177;567576;Фармацевт;113
178;5188406;ПОЛЕ.РФ;1
179;1092837;S7 IT;4
180;4590;STS Logistics, Холдинг;1
181;44272;ЭР-Телеком;72
182;3605;Останкино, Телевизионный технический центр;1
183;3443989;ИНФОРМАЦИОННО-ВЫЧИСЛИТЕЛЬНЫЕ СИСТЕМЫ;1
184;2222250;Сеть аптек Апрель;53
185;5390761;Совкомбанк Технологии;1
186;4446629;4people;2
187;3207989;enKod;77
188;708605;BAUSCH HEALTH;1
189;2155808;Газпром-медиа Развлекательное телевидение (ГПМ РТВ);1
190;2987;КРОК;1
191;230005;3LOGIC GROUP;1
192;138406;ГУГОЛ;54
193;231369;Центр Высоких Технологий;96
194;665449;Строительный Двор;3
195;567049;RU-CENTER Group;1
196;780623;ZiMAD;1614
197;4623486;Центр Орбита;1
198;47479;МОТИВ, телекоммуникационная группа;3
199;51298;Петербургская Недвижимость;2
200;3735331;IT-Сервис;49
201;999378;ИОМ Анкетолог;4
202;986791;Garage Eight;2
203;2635586;Хит Машинери;1
204;23040;Банк Открытие;1
205;11036;Аквариус, Группа компаний;113
206;1457115;MOON (Группа Компаний);2045
207;2346;Волга-Днепр, Группа компаний;1
208;5920492;DNS Головной офис;22
209;759873;LeverX International;1002
210;735907;Бурсервис, АО, НПП;99
211;2033;HARMAN Connected Services;66
212;4649269;Иннотех, Группа компаний;1
213;872053;MX group;22
214;2359594;Unicall (ООО Джи Эл Оу Сервисез);1
215;232718;Иннова;113
216;1962813;АВТОР;2
217;906557;SberTech;1
218;873710;VSEMAYKI.RU;4
219;82290;Терра, Управляющая компания;53
220;4193451;АйТи Ресурс;72
221;2163044;Транснефть-Технологии;1
222;2427329;ГКУ Инфогород;1
223;4109255;АУ УР КССШОР им. В.В. Лукина;96
224;168307;DINS;2
225;1201;Технологии Доверия;1
226;115;Ай-Теко (I-Teco);1
227;728292;СПб ГУП Санкт-Петербургский информационно-аналитический центр;2
228;1425152;Международная медиагруппа Россия сегодня (МИА Россия сегодня);1
229;4438206;Руна-Сервис;71
230;895945;Правительство Москвы;1
231;27879;Теремок, Группа компаний;113
232;159033;Хеликс, лабораторная служба;2
233;1283;Электрон, НИПК;2
234;574804;Capgemini;66
235;152781;СофтИнжиниринг;92
236;346616;Social Quantum;113
237;541900;ФГБУ ЦСМС;1
238;99966;Spar;66
239;1025275;Сеть магазинов цифровой и бытовой техники DNS;22
240;873395;ОДК-Пермские моторы;72
241;65;Московский аэропорт Домодедово;1
242;918904;Гермес Групп;2
243;1793216;Ростелеком-Солар;1
244;46539;Кировский завод;2
245;4527132;Владлинк;22
246;56319;Abi;23
247;1384489;Гуру сервис;2
248;2638551;Комита Цифровые Технологии;1
249;1671906;ПРОГРАММНЫЙ ЦЕНТР;49
250;604936;ОМЕГА-ТРЕЙД;79
251;173163;НАМИ, ФГУП;1
252;4915672;ЛК Эволюция;1
253;589007;Арман;2
254;766249;СолбегСофт;1002
255;4319336;Smart World (Умный мир);90
256;1072794;Архангельский целлюлозно-бумажный комбинат;1014
257;2873;HUAWEI;1
258;3358623;Санкт-Петербургский филиал компании ГАЗПРОМ Германия ГмбХ;2
259;160748;ГНИВЦ;1
260;4837179;ИОТ;1
261;890736;Дельта системы безопасности;1
262;843587;Фирма Цикл;1724
263;1060266;Т1 Консалтинг;1
264;4276064;ДВ технологии;1
265;3778246;НЕОСОФТ;78
266;673;METRO Cash & Carry;1
267;8112;Элекснет;1
268;1116399;Трактородеталь;14
269;2058896;Кинтех Лаб;1
270;618199;Elitel Telecommunication Group;2
