;id;name
283;200;Болгария
284;1381;Сургут
285;5015;Пойковский
286;1825;Старый Оскол
287;2451;Ноглики
288;1312;Макушино
289;1811;Переславль-Залесский
290;1627;Альметьевск
291;2096;Щербинка
292;249;Саров
293;5866;Калтасы (Калтасинский район, Башкортостан)
294;2014;Сосновый Бор (Ленинградская область)
295;1269;Верхняя Пышма
296;1546;Новошахтинск
297;1449;Кропоткин
298;114;Венгрия
299;1768;Шуя
300;248;Арзамас
301;74;Польша
302;1778;Нерехта
303;5128;Некрасовский (Московская область)
304;1730;Муром
305;2070;Хотьково
306;2058;Орехово-Зуево
307;208;ОАЭ
308;1266;Березовский (Свердловская область)
309;1132;Железногорск-Илимский
310;235;Аргентина
311;1715;Шацк (Рязанская область)
312;1931;Ясногорск
313;6299;Отеген-Батыр
314;1942;Облучье
315;1795;Конаково
316;1494;Невинномысск
317;1179;Мирный (Республика Саха (Якутия))
318;2020;Балашиха
319;1642;Нижнекамск
320;166;Жезказган
321;1143;Усть-Кут
322;1226;Рубцовск
323;1123;Северобайкальск
324;1014;Новодвинск
325;1569;Медногорск
326;1456;Славянск-на-Кубани
327;4573;Елань
328;1813;Ростов (Ярославская область)
329;1194;Борзя
330;1204;Бердск
331;1680;Балахна
332;152;Актау
333;1052;Боровичи
334;1429;Каспийск
335;1695;Навашино
336;1297;Полевской
337;1398;Кыштым
338;4524;Куйбышево (Ростовская область)
339;1651;Сарапул
340;2086;Дубна
341;1098;Остров
342;1721;Камешково
343;4999;Белый Яр (Ханты-Мансийский АО)
344;118;Донецк
345;1692;Кулебаки
346;1142;Усть-Илимск
347;180;Петропавловск
348;1657;Новочебоксарск
349;86;Таджикистан
350;2667;Атяшево
351;1062;Апатиты
352;5032;Тазовский
353;4974;Бердюжье
354;1096;Новосокольники
355;2116;Керчь
356;6451;Фёдоровское (Ленинградская область)
357;3671;Троицкое (Алтайский край)
358;301;Обнинск
359;2112;Абхазия
360;2640;Выселки
361;1737;Суздаль
362;1870;Людиново
363;1371;Лангепас
364;2323;Молодечно
365;1665;Кирово-Чепецк
366;3270;Васюринская
367;1054;Малая Вишера
368;2009;Приморск (Ленинградская область)
369;2064;Жуковский
370;1427;Дербент
371;2115;Евпатория
372;1580;Кузнецк
373;1206;Искитим
374;4957;Звериноголовское
375;60;Магадан
376;1976;Амурск
377;1375;Нижневартовск
378;197;Щучинск
379;1633;Елабуга
380;1566;Бузулук
381;1139;Тайшет
382;1099;Печоры
383;1764;Пучеж
384;1532;Аксай (Ростовская область)
385;1088;Сортавала
386;2051;Краснознаменск (Московская область)
387;1337;Чайковский
388;1703;Шахунья
389;1369;Белоярский
390;1298;Ревда (Свердловская область)
391;1818;Алексеевка
392;3935;Ворсино (Калужская область)
393;1238;Междуреченск
394;1514;Жирновск
395;1782;Шарья
396;2686;Излучинск
397;1734;Собинка
398;1191;Черногорск
399;1865;Жуков
400;2095;Троицк (Московская область)
401;193;Уральск
402;1510;Харабали
403;37;Испания
404;1350;Белебей
405;2063;Бронницы
406;1447;Ейск
407;1860;Балабаново
408;1295;Новоуральск
409;3665;Тамань
410;2052;Кубинка
411;2311;Борисов
412;1097;Опочка
413;1833;Клинцы
414;1277;Ирбит
415;1492;Минеральные Воды
416;2229;Мексика
417;1302;Среднеуральск
418;1285;Красноуфимск
419;1093;Дно
420;34;Магас
421;1091;Великие Луки
422;1354;Давлеканово
423;1389;Еманжелинск
424;2039;Люберцы
425;2828;Кобулети
426;2634;Нахабино
427;1134;Киренск
428;1437;Назрань
429;2652;Крыловская станица (Крыловский район)
430;1265;Асбест
431;10;Горно-Алтайск
432;1979;Комсомольск-на-Амуре
433;1178;Ленск
434;1896;Усмань
435;176;Кокшетау
436;1439;Абинск
437;2027;Зарайск
438;2038;Котельники
439;1847;Борисоглебск
440;5025;Заполярный (Ямало-Ненецкий АО)
441;171;Капчагай
442;2012;Сертолово
443;1459;Тихорецк
444;1789;Вышний Волочек
445;188;Талдыкорган
446;1246;Таштагол
447;31;Биробиджан
448;1996;Кингисепп
449;2032;Клин
450;1370;Когалым
451;1997;Кириши
452;1854;Павловск (Воронежская область)
453;2119;Феодосия
454;1165;Ужур
455;1162;Минусинск
456;108;Швейцария
457;1893;Елец
458;100;Финляндия
459;1998;Кировск (Ленинградская область)
460;2074;Солнечногорск
461;1440;Анапа
462;1286;Кушва
463;2672;Юргамыш
464;1686;Выкса
465;2688;Уренгой
466;1412;Южноуральск
467;1214;Черепаново
468;1100;Порхов
469;1391;Карабаш (Челябинская область)
470;4275;Новоорск
471;1958;Уссурийск
472;6073;Майна (Ульяновская область)
473;5300;Крым (Ростовская область)
474;1227;Славгород (Алтайский край)
475;1673;Орлов
476;3056;Кольцово (Новосибирская область)
477;2301;Лида
478;1163;Назарово
479;2751;Оболенск
480;1289;Невьянск
481;101;Франция
482;1284;Красноуральск
483;4571;Городище
484;4102;Белоярский (Свердловская область)
485;1928;Узловая
486;2647;Новая Усмань
487;2786;Джизак
488;2085;Долгопрудный
489;1409;Троицк (Челябинская область)
490;4492;Александровка (Ростовская область)
491;1920;Ефремов
492;2028;Истра
493;1011;Котлас
494;1822;Губкин
495;1278;Каменск-Уральский
496;2265;Полоцк
497;3317;Голубицкая
498;1986;Нарьян-Мар
499;2959;Ува
500;1145;Шелехов
501;1517;Котельниково
502;5414;Виллози
503;2037;Луховицы
504;1025;Гусев
505;1892;Данков
506;3725;Зубова-Поляна
507;1109;Дорогобуж
508;1910;Моршанск
509;2490;Пушкин
510;185;Семей
511;2097;Электрогорск
512;199;Чехия
513;1241;Осинники
514;1846;Богучар
515;1417;Муравленко
516;1445;Горячий Ключ
517;2522;Красное Село
518;4596;Уват (Тюменская область)
519;3856;Тербуны
520;3809;Нижнедевицк
521;150;Аксай (Казахстан)
522;1663;Вятские Поляны
523;4087;Теплое
524;1570;Новотроицк (Оренбургская область)
525;1462;Хадыженск
526;1136;Саянск
527;1803;Торжок
528;5781;Бердяуш
529;3075;Раевский (Альшеевский район)
530;2326;Слуцк
531;1388;Верхний Уфалей
532;6669;Песчаное
533;4818;Кош-Агач
534;1129;Бодайбо
535;3720;Петропавловка (Воронежская область)
536;2689;Новотитаровская
537;198;Экибастуз
538;1950;Артем
539;1050;Ухта
540;1282;Кировград
541;2250;Малорита
542;1047;Печора
543;183;Риддер (ВКО)
544;2664;Павловск (Ленинградская область)
545;5369;Синдор
546;1826;Строитель (Белгородская область)
547;2790;Навои
548;5170;Икряное
549;1393;Касли
550;6007;Телеханы
551;1407;Снежинск
552;1222;Заринск
553;2441;Монино
554;238;Малайзия
555;1718;Вязники
556;4780;Шушенское
557;6368;Большие Вязёмы
558;1805;Удомля
559;2006;Отрадное (Ленинградская область)
560;1540;Каменск-Шахтинский
561;2013;Сланцы
562;27;Германия
563;6431;Глубокое (Восточно-Казахстанская область)
564;2805;Красная Поляна
565;1637;Лениногорск
566;1195;Краснокаменск
567;1794;Кимры
568;1635;Зеленодольск (Республика Татарстан)
569;5098;Приаргунск
570;2437;Степногорск
571;1866;Киров (Калужская область)
572;1140;Тулун
573;1247;Топки
574;1618;Новоульяновск
575;1212;Татарск
576;3698;Кугеси
577;3717;Игра
578;2950;Макинск
579;4631;Карымское
580;318;Словакия
581;4302;Коммунарка
582;1260;Стрежевой
583;2047;Черноголовка
584;1848;Бутурлиновка
585;1611;Хвалынск
586;2082;Фрязино
587;2821;Болниси
588;6595;Владимиро-Александровское
589;1113;Рославль
590;5134;Кандры
591;3783;Красногвардейское (Ставропольский край)
592;1538;Зверево
593;1110;Духовщина
594;6334;Горки Ленинские
595;1416;Лабытнанги
596;1148;Ачинск
597;2048;Электроугли
598;1259;Северск (Томская область)
599;5178;Нижний Баскунчак
600;164;Балхаш
601;1154;Железногорск (Красноярский край)
602;3682;Волоконовка
603;1443;Белореченск
604;115;Киев
605;2017;Тосно
606;2952;Жетысай
607;4129;Парфино
608;1161;Лесосибирск
609;1600;Балашов
610;6105;Дорохово (Московская область)
611;4023;Рощино (Ленинградская область)
612;2827;Каспи
613;2996;Белоозёрский (Московская область)
614;21;Великобритания
615;2750;Петергоф
616;1448;Кореновск
617;1868;Кондрово
618;2108;Индонезия
619;1141;Усолье-Сибирское
620;5557;Понежукай
621;1452;Лабинск
622;2093;Лыткарино
623;4841;Линево (Новосибирская область)
624;2109;Йемен
625;2044;Наро-Фоминск
626;6184;Новозавидовский
627;1735;Струнино
628;1413;Юрюзань
629;3766;Ессентукская
630;1707;Михайлов
631;1377;Покачи
632;6352;Новое Ступино
633;4654;Петропавловка (Республика Бурятия)
634;2091;Красноармейск (Московская область)
635;1211;Обь
636;1067;Кировск (Мурманская область)
637;1155;Заозерный
638;2327;Смолевичи
639;245;Камбоджа
640;1280;Карпинск
641;2072;Пущино
642;1621;Волжск
643;2087;Железнодорожный
644;1883;Курчатов
645;1999;Коммунар
646;1355;Дюртюли
647;4977;Большое Сорокино
648;1268;Верхний Тагил
649;1075;Североморск
650;4850;Толмачево
651;1081;Костомукша
652;2743;Иваново (Брестская область)
653;2782;Фергана
654;3703;Шилово
655;5085;Крекшино
656;1040;Черняховск
657;1645;Чистополь
658;1639;Менделеевск
659;1938;Сковородино
660;3664;Балахта (Красноярский край)
661;1507;Знаменск
662;1458;Тимашевск
663;1108;Десногорск
664;5833;Култаево
665;1565;Бугуруслан
666;1403;Озерск (Челябинская область)
667;2084;Дзержинский
668;1909;Мичуринск
669;4580;Кумылженская
670;1092;Гдов
671;2334;Бобруйск
672;1648;Глазов
673;5461;Янино-1
674;1862;Боровск
675;3941;Товарково (Калужская область)
676;5459;Усть-Луга
677;1292;Нижняя Салда
678;1487;Зеленокумск
679;3844;Волово
680;2784;Коканд
681;1798;Лихославль
682;1951;Большой Камень
683;1834;Мглин
684;4511;Зимовники
685;2066;Руза
686;109;Эстония
687;2026;Егорьевск
688;1334;Очер
689;1725;Кольчугино
690;1542;Красный Сулин
691;1689;Заволжье
692;1467;Прохладный
693;2837;Ткибули
694;1824;Новый Оскол
695;1640;Мензелинск
696;1271;Верхняя Тура
697;2953;Уруссу
698;1359;Мелеуз
699;1213;Тогучин
700;2658;Северская станица
701;3676;Вурнары
702;1777;Мантурово
703;1245;Тайга
704;2021;Волоколамск
705;3279;Львовское
706;1037;Светлый
707;6245;Витим
708;2698;Алупка
709;1949;Арсеньев
710;4317;Балакирево
711;1363;Сибай
712;1488;Изобильный
713;4216;Аликово
714;1558;Инсар
715;5057;Тучково
716;2386;Джанкой
717;4819;Майма
718;1182;Олекминск
719;1262;Алапаевск
720;1450;Крымск
721;4035;Бежаницы
722;5524;Индустриальный (Краснодарский край)
723;1258;Колпашево
724;2054;Озеры
725;1436;Малгобек
726;1270;Верхняя Салда
727;1921;Кимовск
728;3044;Сергиевск
729;1131;Вихоревка
730;1578;Заречный (Пензенская область)
731;4979;Вагай
732;5270;Троицкое (Сахалинская область)
733;1309;Далматово
734;1974;Шахтерск (Сахалинская область)
735;203;Вьетнам
736;1807;Гаврилов-Ям
737;213;Греция
738;1856;Россошь
739;2018;Шлиссельбург
740;1151;Дивногорск
741;1303;Сухой Лог
742;4092;Лоухи
743;5877;Прогресс (Янаульский район, Башкортостан)
744;2955;Малые Вязёмы
745;1186;Удачный
746;1525;Петров Вал
747;1573;Сорочинск
748;1102;Пыталово
749;2844;Кант
750;1717;Александров
751;33;Израиль
752;2002;Луга
753;2506;Богучаны
754;1382;Урай
755;1808;Данилов
756;1518;Котово
757;1189;Саяногорск
758;1539;Зерноград
759;4055;Ленинский (Тульская область)
760;2247;Кобрин
761;2785;Маргилан
762;2010;Приозерск
763;1701;Урень
764;3718;Верхний Мамон
765;2000;Лодейное Поле
766;2240;Береза
767;1643;Нурлат
768;1315;Шумиха
769;1801;Ржев
770;2385;Саки
771;4762;Курагино
772;1053;Валдай
773;2753;Энем
774;3670;Родино
775;3855;Становое
776;1700;Сергач
777;6385;Поварово
778;1386;Бакал
779;50;Китай
780;1431;Кизляр
781;1120;Гусиноозерск
782;1207;Карасук
783;1515;Калач-на-Дону
784;1740;Бабаево
785;4772;Северо-Енисейский (Красноярский край)
786;1013;Мирный (Архангельская область)
787;1346;Ялуторовск
788;5652;Октябрьское (Пригородный район)
789;1508;Камызяк
790;3852;Красное (Липецкая область)
791;1769;Южа
792;2100;Дедовск
793;2697;Нарышкино
794;4594;Красные Баррикады
795;2789;Термез
796;2029;Кашира
797;1283;Краснотурьинск
798;190;Темиртау
799;6458;Сириус
800;1957;Спасск-Дальний
801;5894;Ямбург (Ямало-Ненецкий АО)
802;3048;Талгар
803;2452;Медвежье Озеро
804;1529;Фролово
805;3058;Калининская
806;5263;Чугуевка
807;182;Рудный
808;1373;Мегион
809;1722;Карабаново
810;1056;Пестово
811;2264;Орша
812;2507;Сестрорецк
813;2961;Кронштадт
814;1537;Донецк (Ростовская область)
815;1598;Аткарск
816;3734;Павловская Слобода
817;1659;Шумерля
818;2016;Тихвин
819;2381;Алушта
820;2690;Ванино
821;38;Италия
822;2328;Солигорск
823;1945;Елизово
824;4820;Онгудай
825;4333;Верхнеднепровский
826;4671;Каргасок
827;1263;Арамиль
828;7;Австрия
829;6923;Верхневилюйск
830;4494;Багаевская
831;304;Салехард
832;5281;Новый Ургал
833;2756;Себеж
