;id;name
113;48.676;Аптека, оптика
114;5.468;ВЭД, таможенное оформление
115;11.454;Распространение телепрограмм, кино (кабельное телевидение)
116;11.455;Киностудии и студии звукозаписи
117;11.453;Производство мультимедиа, контента, редакторская деятельность
118;11.456;Теле- и радиовещание
119;39.441;Научно-исследовательская, научная, академическая деятельность
120;39.449;Обучение искусствам (рисование, пение, танцы, фото)
121;388.510;Дорожно-строительная техника, сельскохозяйственная и другая спец.техника, оборудование, лифты, погрузочно-разгрузочное, складское оборудование (продвижение, оптовая торговля)
122;388.509;Дорожно-строительная техника, сельскохозяйственная и другая спец.техника, оборудование, лифты, погрузочно-разгрузочное, складское оборудование (монтаж, сервис, ремонт)
123;43.645;НПФ
124;42.594;Мебель (продвижение, оптовая торговля)
125;42.593;Мебель (производство)
126;388.501;Оборудование и станки для добывающей, энергетической, нефтегазовой и химической отрасли  (продвижение, оптовая торговля)
127;15.546;Автокомпоненты, запчасти, шины (продвижение, оптовая торговля)
128;15.545;Автокомпоненты, запчасти (производство)
129;42.592;Канцтовары, расходные материалы (продвижение, оптовая торговля)
130;42.598;Сантехника (продвижение, оптовая торговля)
131;50.528;Ресторан, общественное питание, фаст-фуд
132;48.680;Лаборатория, исследовательский центр
133;388.489;Медицинское, диагностическое оборудование, инструменты (продвижение, оптовая торговля)
134;388.487;Медицинское, диагностическое оборудование, инструменты (производство)
135;46.471;Теплоэнергетика (генерация электроэнергии и тепла, ТЭС)
136;41.519;Розничная сеть (мобильный ритейл)
137;8.479;Бытовая техника, электроника, климатическое оборудование (монтаж, сервис, ремонт)
138;39.445;Повышение квалификации, переквалификация
139;27.554;Пиво (производство)
140;27.575;Пищевые концентраты (продвижение, оптовая торговля)
141;15.549;Финансовые услуги (кэптивные банки и лизинговые компании)
142;43.644;Лизинговые компании
143;19.625;Целлюлозно-бумажная продукция (продвижение, оптовая торговля)
144;19.624;Целлюлозно-бумажное производство
145;34.426;Резина, пластмасса и прочее (производство)
146;42.605;Посуда, свет, товары для дома  (производство)
147;42.608;Товары для детей (продвижение, оптовая торговля)
148;388.507;Оборудование для деревообработки, заготовки леса, целлюлозно-бумажной промышленности (продвижение, оптовая торговля)
149;388.490;Оборудование для ресторанов, гостиниц, кейтеринга, розничной торговли (производство)
150;388.493;Оборудование для пищевой промышленности, упаковки и хранения (производство)
151;41.516;Розничная сеть (парфюмерия, косметика)
152;42.590;Бытовая химия, парфюмерия, косметика  (продвижение, оптовая торговля)
